time,month,year,temperature,dew_point,humidity,wind_speed,pressure,precipitation,temperature_raw,dew_point_raw,humidity_raw,wind_speed_raw,pressure_raw,precipitation_raw
2010-01-13,January,2010,19.0,7.0,52.0,12.0,29.91,0.0,19 | 66.2,7 | 44.6,52,12 | 7.46,29.91 | 1013,0.0 | 0.0
2010-01-14,January,2010,19.0,7.0,53.0,13.0,29.94,0.0,19 | 66.2,7 | 44.6,53,13 | 8.08,29.94 | 1014,0.0 | 0.0
2010-01-15,January,2010,20.0,10.0,64.0,13.0,29.94,0.0,20 | 68.0,10 | 50.0,64,13 | 8.08,29.94 | 1014,0.0 | 0.0
2010-01-16,January,2010,20.0,10.0,62.0,11.0,30.0,0.0,20 | 68.0,10 | 50.0,62,11 | 6.84,30.0 | 1016,0.0 | 0.0
2010-01-17,January,2010,20.0,9.0,60.0,13.0,30.0,0.0,20 | 68.0,9 | 48.2,60,13 | 8.08,30.0 | 1016,0.0 | 0.0
2010-01-18,January,2010,20.0,8.0,56.0,14.0,29.97,0.0,20 | 68.0,8 | 46.4,56,14 | 8.7,29.97 | 1015,0.0 | 0.0
2010-01-19,January,2010,21.0,9.0,59.0,13.0,29.94,0.0,21 | 69.8,9 | 48.2,59,13 | 8.08,29.94 | 1014,0.0 | 0.0
2010-01-20,January,2010,21.0,10.0,61.0,13.0,29.91,0.0,21 | 69.8,10 | 50.0,61,13 | 8.08,29.91 | 1013,0.0 | 0.0
2010-01-21,January,2010,20.0,9.0,62.0,12.0,29.94,0.0,20 | 68.0,9 | 48.2,62,12 | 7.46,29.94 | 1014,0.0 | 0.0
2010-01-22,January,2010,20.0,7.0,56.0,10.0,29.94,0.0,20 | 68.0,7 | 44.6,56,10 | 6.21,29.94 | 1014,0.0 | 0.0
2010-01-23,January,2010,20.0,8.0,58.0,12.0,29.91,0.0,20 | 68.0,8 | 46.4,58,12 | 7.46,29.91 | 1013,0.0 | 0.0
2010-01-24,January,2010,20.0,8.0,55.0,15.0,29.88,0.0,20 | 68.0,8 | 46.4,55,15 | 9.32,29.88 | 1012,0.0 | 0.0
2010-01-25,January,2010,20.0,6.0,53.0,14.0,29.88,0.0,20 | 68.0,6 | 42.8,53,14 | 8.7,29.88 | 1012,0.0 | 0.0
2010-01-26,January,2010,20.0,4.0,48.0,14.0,29.88,0.0,20 | 68.0,4 | 39.2,48,14 | 8.7,29.88 | 1012,0.0 | 0.0
2010-01-27,January,2010,20.0,5.0,47.0,13.0,29.91,0.0,20 | 68.0,5 | 41.0,47,13 | 8.08,29.91 | 1013,0.0 | 0.0
2010-01-28,January,2010,20.0,4.0,42.0,14.0,29.91,0.0,20 | 68.0,4 | 39.2,42,14 | 8.7,29.91 | 1013,0.0 | 0.0
2010-01-29,January,2010,21.0,8.0,51.0,13.0,29.88,0.0,21 | 69.8,8 | 46.4,51,13 | 8.08,29.88 | 1012,0.0 | 0.0
2010-01-30,January,2010,21.0,7.0,52.0,12.0,29.94,0.0,21 | 69.8,7 | 44.6,52,12 | 7.46,29.94 | 1014,0.0 | 0.0
2010-01-31,January,2010,22.0,8.0,52.0,15.0,29.94,0.0,22 | 71.6,8 | 46.4,52,15 | 9.32,29.94 | 1014,0.0 | 0.0
2010-02-01,February,2010,22.0,8.0,53.0,13.0,29.91,0.0,22 | 71.6,8 | 46.4,53,13 | 8.08,29.91 | 1013,0.0 | 0.0
2010-02-02,February,2010,22.0,7.0,47.0,10.0,29.88,0.0,22 | 71.6,7 | 44.6,47,10 | 6.21,29.88 | 1012,0.0 | 0.0
2010-02-03,February,2010,23.0,7.0,44.0,9.0,29.85,0.0,23 | 73.4,7 | 44.6,44,9 | 5.59,29.85 | 1011,0.0 | 0.0
2010-02-04,February,2010,23.0,10.0,53.0,9.0,29.85,0.0,23 | 73.4,10 | 50.0,53,9 | 5.59,29.85 | 1011,0.0 | 0.0
2010-02-05,February,2010,22.0,13.0,64.0,6.0,29.88,5.1,22 | 71.6,13 | 55.4,64,6 | 3.73,29.88 | 1012,5.1 | 0.2
2010-02-06,February,2010,20.0,14.0,74.0,6.0,29.91,15.1,20 | 68.0,14 | 57.2,74,6 | 3.73,29.91 | 1013,15.1 | 0.59
2010-02-07,February,2010,20.0,13.0,68.0,7.0,29.91,3.5,20 | 68.0,13 | 55.4,68,7 | 4.35,29.91 | 1013,3.5 | 0.14
2010-02-08,February,2010,22.0,10.0,56.0,11.0,29.88,0.0,22 | 71.6,10 | 50.0,56,11 | 6.84,29.88 | 1012,0.0 | 0.0
2010-02-09,February,2010,21.0,9.0,54.0,15.0,29.88,0.0,21 | 69.8,9 | 48.2,54,15 | 9.32,29.88 | 1012,0.0 | 0.0
2010-02-10,February,2010,20.0,6.0,49.0,14.0,29.91,0.0,20 | 68.0,6 | 42.8,49,14 | 8.7,29.91 | 1013,0.0 | 0.0
2010-02-11,February,2010,19.0,7.0,53.0,11.0,29.88,0.0,19 | 66.2,7 | 44.6,53,11 | 6.84,29.88 | 1012,0.0 | 0.0
2010-02-12,February,2010,21.0,8.0,53.0,14.0,29.91,0.0,21 | 69.8,8 | 46.4,53,14 | 8.7,29.91 | 1013,0.0 | 0.0
2010-02-13,February,2010,22.0,10.0,59.0,15.0,29.91,0.0,22 | 71.6,10 | 50.0,59,15 | 9.32,29.91 | 1013,0.0 | 0.0
2010-02-14,February,2010,21.0,10.0,59.0,14.0,29.85,0.0,21 | 69.8,10 | 50.0,59,14 | 8.7,29.85 | 1011,0.0 | 0.0
2010-02-15,February,2010,21.0,11.0,60.0,11.0,29.83,1.4,21 | 69.8,11 | 51.8,60,11 | 6.84,29.83 | 1010,1.4 | 0.06
2010-02-16,February,2010,21.0,11.0,61.0,9.0,29.88,2.0,21 | 69.8,11 | 51.8,61,9 | 5.59,29.88 | 1012,2.0 | 0.08
2010-02-17,February,2010,20.0,12.0,67.0,7.0,29.94,1.4,20 | 68.0,12 | 53.6,67,7 | 4.35,29.94 | 1014,1.4 | 0.06
2010-02-18,February,2010,16.0,12.0,80.0,9.0,29.97,7.9,16 | 60.8,12 | 53.6,80,9 | 5.59,29.97 | 1015,7.9 | 0.31
2010-02-19,February,2010,21.0,11.0,64.0,11.0,29.91,4.4,21 | 69.8,11 | 51.8,64,11 | 6.84,29.91 | 1013,4.4 | 0.17
2010-02-20,February,2010,22.0,12.0,60.0,11.0,29.88,0.2,22 | 71.6,12 | 53.6,60,11 | 6.84,29.88 | 1012,0.2 | 0.01
2010-02-21,February,2010,20.0,14.0,70.0,11.0,29.88,0.7,20 | 68.0,14 | 57.2,70,11 | 6.84,29.88 | 1012,0.7 | 0.03
2010-02-22,February,2010,21.0,13.0,68.0,12.0,29.88,1.7,21 | 69.8,13 | 55.4,68,12 | 7.46,29.88 | 1012,1.7 | 0.07
2010-02-23,February,2010,21.0,12.0,67.0,11.0,29.91,5.0,21 | 69.8,12 | 53.6,67,11 | 6.84,29.91 | 1013,5.0 | 0.2
2010-02-24,February,2010,21.0,12.0,61.0,10.0,29.88,0.2,21 | 69.8,12 | 53.6,61,10 | 6.21,29.88 | 1012,0.2 | 0.01
2010-02-25,February,2010,22.0,14.0,67.0,7.0,29.85,3.3,22 | 71.6,14 | 57.2,67,7 | 4.35,29.85 | 1011,3.3 | 0.13
2010-02-26,February,2010,20.0,14.0,72.0,5.0,29.88,1.0,20 | 68.0,14 | 57.2,72,5 | 3.11,29.88 | 1012,1.0 | 0.04
2010-02-27,February,2010,21.0,15.0,76.0,5.0,29.91,19.5,21 | 69.8,15 | 59.0,76,5 | 3.11,29.91 | 1013,19.5 | 0.77
2010-02-28,February,2010,17.0,16.0,91.0,5.0,29.94,32.2,17 | 62.6,16 | 60.8,91,5 | 3.11,29.94 | 1014,32.2 | 1.27
February,February,2010,,,,,,,° C | ° F,° C | ° F,%,Kph | Mph,Hg | Mb,Total (mm/in)
January,January,2010,,,,,,,° C | ° F,° C | ° F,%,Kph | Mph,Hg | Mb,Total (mm/in)
